datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s
2023-10-31 00:00:00+00:00,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087,98.59087
2023-10-31 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.44401,,,,
2023-10-31 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0163,,,,
2023-10-31 03:00:00+00:00,151.2226,158.34587,150.01572,183.72977,179.33617,176.62971,169.61922,164.0654,175.72821,169.11523,171.6853,126.3554,157.81572,127.805595,154.1294,170.20226,167.65295,89.62623,149.53717,90.35983,178.04182,184.14665,162.95898,90.86024,183.43013,168.19717,177.31232,103.046844,144.53246,135.30475,112.560104,104.73259,170.15863,101.402306,113.39354,180.01701,90.11201,180.68448,174.0564,124.831825,121.797066,127.41972,90.44129,108.38479,115.143456,183.4651,97.75894,97.48472,89.65049,92.37913,170.08244,91.07068
2023-10-31 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.866104,,,,
2023-10-31 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.17355,,,,
2023-10-31 06:00:00+00:00,225.94296,240.62624,205.95631,303.0005,266.84213,250.16435,232.9505,233.5911,271.64365,260.38098,271.94928,156.33577,213.34422,161.14534,227.00174,258.84866,229.13713,72.64981,219.58122,74.836235,260.45892,306.62296,247.35744,76.33747,294.4405,234.3637,267.01538,108.37023,212.9631,184.97954,126.23866,112.79154,238.13911,96.950935,132.60799,285.61154,74.082306,265.6639,267.76465,155.1144,148.56717,163.87259,75.11574,112.31621,136.85222,287.19223,95.742226,95.41601,72.71634,80.70952,239.10402,76.96438
2023-10-31 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6016,,,,
2023-10-31 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.73767,,,,
2023-10-31 09:00:00+00:00,228.19733,241.53691,191.74875,307.8309,247.77017,221.48788,203.19379,216.05998,264.64664,257.30536,273.67697,145.81056,190.48596,152.53232,223.91243,251.59894,200.00244,59.127724,219.67767,62.564022,238.2788,313.89203,244.01866,64.9028,292.08908,208.91835,252.34265,101.067474,216.43568,182.69385,116.76782,107.418144,211.99422,82.52862,128.56306,282.30942,61.34854,242.72362,260.9894,146.6779,141.87776,159.61653,63.042892,99.16531,131.9882,278.1163,93.24869,92.831726,59.22159,71.51029,214.00858,65.913895
