datetime,streamflow_m^3/s
2023-10-25 00:00:00+00:00,1061.2413
2023-10-25 03:00:00+00:00,1051.4631
2023-10-25 06:00:00+00:00,1026.4689
2023-10-25 09:00:00+00:00,1006.62537
2023-10-25 12:00:00+00:00,991.89166
2023-10-25 15:00:00+00:00,975.9695
2023-10-25 18:00:00+00:00,958.1228
2023-10-25 21:00:00+00:00,939.98566
2023-10-26 00:00:00+00:00,922.945
2023-10-26 03:00:00+00:00,916.2115
2023-10-26 06:00:00+00:00,897.9183
2023-10-26 09:00:00+00:00,882.4213
2023-10-26 12:00:00+00:00,870.9446
2023-10-26 15:00:00+00:00,858.6641
2023-10-26 18:00:00+00:00,844.88324
2023-10-26 21:00:00+00:00,830.6087
2023-10-27 00:00:00+00:00,816.8178
2023-10-27 03:00:00+00:00,811.12164
2023-10-27 06:00:00+00:00,795.5271
2023-10-27 09:00:00+00:00,781.74774
2023-10-27 12:00:00+00:00,770.7386
2023-10-27 15:00:00+00:00,759.0139
2023-10-27 18:00:00+00:00,748.5969
2023-10-27 21:00:00+00:00,742.22766
2023-10-28 00:00:00+00:00,738.84375
2023-10-28 03:00:00+00:00,738.526
2023-10-28 06:00:00+00:00,741.54626
2023-10-28 09:00:00+00:00,745.26984
2023-10-28 12:00:00+00:00,750.34534
2023-10-28 15:00:00+00:00,763.4483
2023-10-28 18:00:00+00:00,786.3821
2023-10-28 21:00:00+00:00,820.869
2023-10-29 00:00:00+00:00,860.01965
2023-10-29 03:00:00+00:00,877.87524
2023-10-29 06:00:00+00:00,935.96576
2023-10-29 09:00:00+00:00,1044.6682
2023-10-29 12:00:00+00:00,1187.0896
2023-10-29 15:00:00+00:00,1323.6263
2023-10-29 18:00:00+00:00,1424.5842
2023-10-29 21:00:00+00:00,1489.239
2023-10-30 00:00:00+00:00,1537.2037
2023-10-30 03:00:00+00:00,1567.94
2023-10-30 06:00:00+00:00,1623.863
2023-10-30 09:00:00+00:00,1721.217
2023-10-30 12:00:00+00:00,1828.9115
2023-10-30 15:00:00+00:00,1921.716
2023-10-30 18:00:00+00:00,1998.3892
2023-10-30 21:00:00+00:00,2067.858
2023-10-31 00:00:00+00:00,2141.8462
2023-10-31 03:00:00+00:00,2193.6477
2023-10-31 06:00:00+00:00,2281.5193
2023-10-31 09:00:00+00:00,2372.2822
2023-10-31 12:00:00+00:00,2468.6113
2023-10-31 15:00:00+00:00,2541.2537
2023-10-31 18:00:00+00:00,2584.9944
2023-10-31 21:00:00+00:00,2610.372
2023-11-01 00:00:00+00:00,2626.5764
