datetime,flow_max_m^3/s,flow_75%_m^3/s,flow_avg_m^3/s,flow_25%_m^3/s,flow_min_m^3/s,high_res_m^3/s
2023-10-11 00:00:00+00:00,73.23865,73.2386474609375,73.2387,73.2386474609375,73.23865,73.23865
2023-10-11 01:00:00+00:00,,,,,,73.301834
2023-10-11 02:00:00+00:00,,,,,,73.48096
2023-10-11 03:00:00+00:00,73.486664,73.48666381835938,73.48663,73.48666381835938,73.486664,73.677216
2023-10-11 04:00:00+00:00,,,,,,73.888756
2023-10-11 05:00:00+00:00,,,,,,74.113434
2023-10-11 06:00:00+00:00,74.11701,74.11701202392578,74.117,74.11701202392578,74.11701,74.34885
2023-10-11 07:00:00+00:00,,,,,,74.592354
2023-10-11 08:00:00+00:00,,,,,,74.841194
2023-10-11 09:00:00+00:00,74.842,74.84200286865234,74.842026,74.84200286865234,74.842,75.09245
2023-10-11 10:00:00+00:00,,,,,,75.34319
2023-10-11 11:00:00+00:00,,,,,,75.59046
2023-10-11 12:00:00+00:00,75.58835,75.58834838867188,75.58837,75.58834838867188,75.58835,75.83138
2023-10-11 13:00:00+00:00,,,,,,76.06322
2023-10-11 14:00:00+00:00,,,,,,76.283455
2023-10-11 15:00:00+00:00,76.27883,76.2788314819336,76.27882,76.2788314819336,76.27883,76.48982
2023-10-11 16:00:00+00:00,,,,,,76.680405
2023-10-11 17:00:00+00:00,,,,,,76.853645
2023-10-11 18:00:00+00:00,76.84747,76.84747314453125,76.847435,76.84747314453125,76.84747,77.00838
2023-10-11 19:00:00+00:00,,,,,,77.143814
2023-10-11 20:00:00+00:00,,,,,,77.25955
2023-10-11 21:00:00+00:00,77.25297,77.25296783447266,77.252945,77.25296783447266,77.25297,77.35554
2023-10-11 22:00:00+00:00,,,,,,77.43202
2023-10-11 23:00:00+00:00,,,,,,77.48953
2023-10-12 00:00:00+00:00,77.48347,77.48345947265625,77.48343,77.48345947265625,77.48346,77.52884
2023-10-12 01:00:00+00:00,,,,,,77.55092
2023-10-12 02:00:00+00:00,,,,,,77.55693
2023-10-12 03:00:00+00:00,77.55202,77.552001953125,77.552,77.552001953125,77.551994,77.54815
2023-10-12 04:00:00+00:00,,,,,,77.52596
2023-10-12 05:00:00+00:00,,,,,,77.49179
2023-10-12 06:00:00+00:00,77.48827,77.48826599121094,77.48827,77.48826599121094,77.48826,77.44705
2023-10-12 07:00:00+00:00,,,,,,77.393135
2023-10-12 08:00:00+00:00,,,,,,77.33134
2023-10-12 09:00:00+00:00,77.329124,77.32910919189453,77.3291,77.32910919189453,77.329025,77.26286
2023-10-12 10:00:00+00:00,,,,,,77.1888
2023-10-12 11:00:00+00:00,,,,,,77.11013
2023-10-12 12:00:00+00:00,77.10893,77.10890197753906,77.108894,77.10889434814453,77.10886,77.02776
2023-10-12 13:00:00+00:00,,,,,,76.94253
2023-10-12 14:00:00+00:00,,,,,,76.85522
2023-10-12 15:00:00+00:00,76.85503,76.85478973388672,76.854774,76.85478210449219,76.85473,76.76662
2023-10-12 16:00:00+00:00,,,,,,76.67752
2023-10-12 17:00:00+00:00,,,,,,76.588715
2023-10-12 18:00:00+00:00,76.58963,76.58910369873047,76.58912,76.58906173706055,76.58893,76.50105
2023-10-12 19:00:00+00:00,,,,,,76.41539
2023-10-12 20:00:00+00:00,,,,,,76.33261
2023-10-12 21:00:00+00:00,76.334305,76.3338851928711,76.333916,76.3338623046875,76.333626,76.25364
