month,Azuay,Bolivar,Carchi,Ca?ñar,Chimborazo,Cotopaxi,El Oro,Esmeraldas,Galapagos,Guayas,IMBABURA,Loja,Los Rios,Manabi,Morona Santiago,Napo,Orellana,Pastaza,Pichincha,Santa Elena,Santo Domingo de los Tsachilas,Sucumbios,Tungurahua,Zamora Chinchipe
1/1/2001,30.98164568,33.62386592,34.31065039,33.59115599,33.627112,33.19325561,24.33292651,36.18263113,17.04963477,34.30072737,33.43126733,27.23800391,35.31310021,37.06960069,34.22094565,32.38016534,37.53834585,37.51475274,33.86537462,31.82661457,32.35949989,36.49355982,31.7200191,30.39326331
2/1/2001,30.95960039,33.33886764,33.49563296,33.53786584,32.83055265,32.53732722,23.63850201,35.19007006,19.91235796,34.87310404,32.58392768,26.22227204,35.69575091,37.30970595,33.98540812,31.74115885,37.09881043,37.34057049,33.12437252,31.97219074,31.63732701,35.67504182,30.83634564,30.00090702
3/1/2001,33.42193794,34.32574401,34.65274428,35.48677904,34.44802837,33.66759299,28.1205936,36.24952815,18.93429689,37.84617952,33.82859113,30.73773418,36.79971516,38.97201526,36.09087215,33.51496581,39.12965349,39.16214399,34.35421063,36.16990225,32.94777152,37.74246389,32.37701041,32.98610813
4/1/2001,33.16183707,34.56152523,35.00140193,35.21632852,34.10963066,34.06807547,28.72314151,36.9475261,21.94295641,38.93142066,34.22649666,31.09411362,37.26254982,39.38788838,35.50400741,32.96862547,38.6628729,38.84886641,34.69619237,37.12945488,33.68112763,37.35214916,32.26593937,32.15991253
5/1/2001,31.83499516,32.82866345,34.87796581,33.9008622,32.89402062,32.54317596,25.37001455,36.20675856,20.01604315,35.53742406,33.8919,28.12102659,35.12344234,36.63306374,35.21453585,32.92841565,39.02030611,38.70916096,33.95281251,32.21669734,31.92042185,37.83364225,31.21309389,31.59422206
6/1/2001,31.68621947,32.25002416,34.06505947,33.6106743,32.48413197,31.7347322,25.10558593,35.2904249,15.92695437,33.54160042,32.93516602,27.1811155,34.04202456,34.36049351,34.89241451,32.41021867,38.53796155,38.23188343,33.03007327,28.9518572,30.74228653,37.40322488,30.68932921,31.30995512
7/1/2001,29.04064245,30.48873714,32.04095271,31.46329089,30.78846546,29.97337655,20.10660332,32.62243634,13.44430336,28.99440668,30.89447729,22.08092036,31.63225518,30.14923914,33.37729087,31.08140261,37.73984846,37.44143385,31.10213601,23.01767214,28.32308777,36.24685364,29.22665726,28.22934647
8/1/2001,27.81437027,29.47291091,30.67762931,30.30708316,30.07431135,29.08588836,18.31394328,30.18757214,13.88739735,27.2918631,29.52119565,20.41911974,29.69734487,27.54458297,32.39279985,30.31115917,37.03741731,36.62830232,29.89825573,24.15641765,26.86728608,35.40002299,28.48948285,27.14233691
9/1/2001,27.86212976,29.2846868,31.88575475,30.38861827,30.77978746,29.46214525,17.74300509,30.31273681,12.85355492,25.50808631,30.48540901,20.30536812,27.94323947,25.75616676,32.74912241,30.91612762,37.576588,37.06132192,30.45379063,22.37235153,26.38560432,36.02036391,29.25033321,27.13234308
10/1/2001,26.66182126,27.74149232,30.85330407,28.89632556,29.92642277,28.46222717,16.53263449,27.91873016,11.90963925,22.00287815,29.47878466,19.85486882,24.38599984,22.40475736,32.08241428,30.62395803,37.37176675,36.88064129,29.56954551,19.48704613,24.67660449,35.57720562,28.59311192,26.15652559
11/1/2001,28.15973655,28.58303063,32.64571536,30.26735647,31.03465755,29.37112457,19.24126789,29.86123841,12.59972627,23.85779317,31.29508291,23.10956609,25.72524258,24.80762455,33.19980384,31.56550501,38.15975639,37.61978055,30.91762745,21.07413032,25.76134424,36.80343404,29.40796574,28.46480483
12/1/2001,27.97090354,29.09459737,33.39733448,30.38440718,31.18255349,29.88903034,17.8858669,30.21047408,12.17050672,23.51358989,32.00564493,21.61411575,26.45476233,24.35174694,33.32054885,32.08099491,38.53820614,38.05328066,31.60090575,19.02669329,26.47312159,37.36773681,29.67884667,28.00899465
1/1/2002,29.03487396,31.3022416,34.0323398,31.86558389,32.47328956,31.62152621,19.54099126,33.90267551,11.31834612,27.64444025,32.93720931,23.15044256,30.27380052,30.1257645,33.98133976,32.52180026,37.0976539,37.38181145,32.97213334,25.03291874,29.57730504,36.01206656,30.96006132,28.99599095
