rivid,classification,strmOrder
110229254,normal range,2
110230566,normal range,2
110067878,normal range,2
110050823,normal range,2
110054759,normal range,2
110050824,normal range,2
110332904,normal range,2
110206953,normal range,2
110044266,normal range,2
110053451,normal range,2
110214828,normal range,2
110195148,normal range,2
110060012,normal range,2
110196460,wet,2
110036397,normal range,2
110197773,wet,2
110251565,wet,2
110235822,wet,2
110037710,normal range,2
110239758,normal range,2
110238446,normal range,2
110277806,normal range,2
110238447,normal range,2
110042960,normal range,2
110221392,normal range,2
110053456,normal range,2
110025905,normal range,2
110203026,normal range,2
110279122,normal range,2
110166291,normal range,2
110033779,normal range,2
110196467,normal range,2
110015412,normal range,2
110259444,normal range,2
110027220,normal range,2
110227956,normal range,2
110041652,normal range,2
110014101,normal range,2
110023285,normal range,2
110171541,normal range,2
110031157,normal range,2
110007542,normal range,2
110205654,normal range,2
110209590,normal range,2
110031158,normal range,2
110187287,normal range,2
110188599,normal range,2
110192535,wet,2
110196471,normal range,2
110241079,normal range,2
110028535,normal range,2
110199095,normal range,2
110187288,normal range,2
110188600,normal range,2
110189912,normal range,2
110229273,normal range,2
110010169,normal range,2
110230585,normal range,2
110208281,normal range,2
110209593,wet,2
110025913,wet,2
110212217,normal range,2
110031161,normal range,2
110302746,normal range,2
110271258,normal range,2
110247642,normal range,2
110021978,normal range,2
110028538,normal range,2
110227962,normal range,2
110044282,normal range,2
110230586,normal range,2
110054778,normal range,2
110208283,normal range,2
110210907,normal range,2
110230587,normal range,2
110251579,normal range,2
110024603,normal range,2
110033787,normal range,2
110213531,normal range,2
110214843,normal range,2
110216155,normal range,2
110092827,normal range,2
110268636,normal range,2
110225340,normal range,2
110037724,normal range,2
110045596,normal range,2
110050844,normal range,2
110008861,normal range,2
110230589,normal range,2
110255517,normal range,2
110272573,normal range,2
110283069,normal range,2
110041661,normal range,2
110233213,normal range,2
110102013,normal range,2
110003614,normal range,2
110201726,wet,2
110204350,normal range,2
110306686,normal range,2
110205662,normal range,2
110304062,normal range,2
110213534,normal range,2
110259455,normal range,2
110263391,normal range,2
110018047,normal range,2
110225343,normal range,2
110226655,normal range,2
110227967,normal range,2
110230591,normal range,2
110046911,normal range,2
110234527,normal range,2
110231903,normal range,2
110217472,normal range,2
110218784,normal range,2
110220096,normal range,2
110018048,normal range,2
110021984,wet,2
110027232,normal range,2
110225344,normal range,2
