Latitude,Longitude,Nat_ID,Water Body,Sub-Region,Rating Cur,LINKNO,DSLINKNO,strmOrder,VPUCode
-2.45833,37.90556,3F04,Umani Swamp,Kibwezi,Yes,110248853,110231796,2,103
-2.41194,40.21417,4G09,Tana Ngao,Lower Tana,No,110368242,110324948,7,103
-2.40825,40.68186,4K01,LAKE KENYATTA,Lower Tana,No,110302643,110326258,4,103
-2.37583,38.07556,3F06,Kibwezi River,Kibwezi,Yes,110319698,110321010,4,103
-2.28875,40.1266,4G02,Tana Garsen,Lower Tana,Yes,110343311,110340688,7,103
-2.241,40.132,4K02,MKONDO WAWITU,Lower Tana,No,110327566,110328878,7,103
-2.21247,37.7139,3F11,Little Kiboko,Kibwezi,Yes,110260653,110261965,2,103
-2.20817,37.69866,3F07,Greater Kiboko,Kibwezi,Yes,110318382,110305261,5,103
-2.20137,38.05809,3F09,Athi Kibwezi,Kibwezi,Yes,110307885,110309197,6,103
-2.09348,36.09329,2K16,Shompole,Narok,No,110334122,110324942,5,103
-1.84947,36.10258,2K04,Ewaso Nyiro,Narok,Yes,110369538,110343305,5,103
-1.78906,37.84457,3F02,Athi Mavindini,Kibwezi,Yes,110364290,110365602,6,103
-1.78472,37.82778,3ED01,Thwake,Kibwezi,No,110352482,110353794,5,103
-1.65325,35.21534,1LA07,Sand River,0,Yes,160227682,160217169,4,122
-1.53333,35.85,2K07,Naroosura,Narok,No,110004795,110007419,2,103
-1.52029,37.24681,3EA02,Maruba,Kibwezi,Yes,110218649,110239643,2,103
-1.49235,40.03626,4G04,Tana Hola,Lower Tana,Yes,110368218,110352475,6,103
-1.46016,36.06805,2K10,Mosiro,Narok,No,110369528,110318361,5,103
-1.44332,35.20826,1LA08,Talek,MSSRO,No,160230011,160231179,5,122
-1.41431,37.64679,3DB01,Athi Wamunyu,Kibwezi,No,110362968,110365592,6,103
-1.22298,35.03622,1LA04,Mara,Kericho,No,160206643,160206644,5,122
-1.216,38.585,4H04,KALUNDU,0,No,110296050,110347218,3,103
-1.159,38.537,4H03,KALUNDU,0,No,110252753,110353777,3,103
-1.15367,35.75907,2K01,Ewaso Nyiro,Narok,Yes,110348529,110349841,4,103
-1.15,37.57639,4CC06,Yatta Furrow,Muranga,Yes,110076945,110248816,2,103
-1.11276,35.28678,1LA06,EMARTI,0,Yes,160145902,160222989,2,122
-1.09521,37.36253,4CC03,Yatta Furrow,Upper Tana,Yes,110397070,110360335,4,103
-1.09444,37.36111,4CC03A,Yatta Furrow,Upper Tana,Yes,110397070,110360335,4,103
-1.09365,37.1953,3DA02,Athi Munyu,Kibwezi,Yes,110382640,110366895,6,103
-1.09307,38.2559,4H01,KALUNDU,0,No,110280303,110301296,3,103
-1.09284,35.87091,2K03B,Seyabei,Narok,,110353775,110369520,4,103
-1.09204,35.95415,2K06,Seyabei,Narok,Yes,110306541,110336719,3,103
-1.08662,35.86289,2K03,Narok,Narok,Yes,110383950,110353775,4,103
-1.08111,37.48722,4CC02,Thika,Upper Tana,No,110251439,110373455,3,103
-1.0717,37.32191,4CC08,Thika,Upper Tana,#N/A,110397070,110360335,4,103
-1.06722,36.56028,2H02,Little Kedong,Narok,Yes,110250126,110344590,2,103
-1.06648,34.47124,1KC03,Migori,Kisii,Yes,160176271,160196126,5,122
-1.06042,36.5897,2H03,Little Kedong,Narok,No,110250126,110344590,2,103
-1.03083,37.45583,4CC05,Thika,Upper Tana,Yes,110268494,110357709,2,103
-1.02691,37.06467,4CA02,Chania,Upper Tana,Yes,110334093,110335405,3,103
-1.02083,37.06583,4CB04,Thika,Upper Tana,Yes,110313101,110335405,3,103
-1.00833,34.88333,1KC06,Oltanki,Kisii,No,160137724,160151741,2,122
-1.00833,34.88333,1KC07,Enkaragetuak,Kisii,No,160137724,160151741,2,122
-1.00833,36.98333,4CA23,Kariminu,Upper Athi,No,110240943,110344592,2,103
-1.00278,34.08889,1KD,Lake Victoria Muhuru Bay,Kisii,No,160135390,160145901,2,122
-1.00004,35,1LA05,Mara At Serena,SSGMSRO,No,160157580,160197293,2,122
-0.99957,35.66909,2K09,Upper Ewaso Ngiro,Narok,No,110378700,110339341,3,103
-0.98889,34.29028,1KC04,Migori,Kisii,Yes,160200796,160201964,5,122
-0.96667,35.65,2K08,Ewaso Nyiro,Narok,Yes,110374764,110376076,3,103
-0.94861,34.27222,1KB01,Gucha,Kisii,Yes,160193786,160206635,5,122
-0.94722,34.20694,1KB05,Gucha Migori,Kisii,Yes,160215979,160215976,6,122
-0.94722,35.41667,1LB01,Amala,MSSRO,No,160190282,160208971,4,122
-0.91972,36.5925,2H01,Tong Tongi,Narok,Yes,110248811,110282924,2,103
-0.91209,35.62243,2K17,Enosogami,Narok,No,110230441,110356394,2,103
-0.91184,35.62984,2K18,Upper Ewaso Ngiro South,Narok,No,110331464,110356394,2,103
-0.90415,34.53312,1KB11,Oyani,Kisii,No,160152905,160157575,3,122
-0.89944,34.54778,1KB09,Sare,Kisii,No,160088665,160152905,2,122
-0.89809,34.6742,1KB10,Nyangweta,Kisii,No,160140057,160141225,2,122
-0.89806,37.50278,4DE02,Tana Karaba,Thiba,Yes,110390506,110393130,5,103
-0.89722,35.4375,1LB02,Amala,MSSRO,Yes,160207800,160198457,4,122
-0.89444,34.66944,1KB08,Riasuta,Kisii,No,160141225,160169256,2,122
-0.8826,36.80302,KARAN01,Karangi Kiana,Upper Tana,Yes,110289481,110292105,2,103
-0.875,36.78889,4CA19,Kariminu,Upper Tana,No,110289481,110292105,2,103
-0.86461,37.1406,4BF01,Saba Saba,Upper Tana,Yes,110252744,110233065,2,103
-0.85889,34.76389,1KB13,Mogunga,Kisii,No,160184440,160161079,3,122
-0.85439,36.82793,KIMAK01,Kimakia,Upper Tana,Yes,110251432,110347210,2,103
-0.85169,36.80063,4CA03,Chania,Upper Tana,No,110315720,110347210,3,103
-0.84306,34.62639,1KB14,Nyangweta,Kisii,No,160171591,160172759,4,122
-0.83167,36.85,4CB08,Thika,Upper Tana,No,110317032,110318344,2,103
-0.83143,36.79128,4CA15,Kimakia,Upper Tana,Yes,110251432,110347210,2,103
-0.825,36.77917,4CA18,Ragia,Upper Tana,No,110197639,110251432,2,103
-0.82361,36.77667,4CA17,Kimakia,Upper Tana,No,110197639,110251432,2,103
-0.82083,37.64167,4DD01,Thiba,Thiba,Yes,110269800,110349832,2,103
-0.81707,39.83856,4G08,Tana at Nanigi/Bura Intake,Lower Tana,Yes,110378695,110397064,6,103
