fid,LINKNO,DSLINKNO,Subbasin
1,160261477,160254471,1AA
2,160246293,160247461,1AB
3,160274326,160246295,1AC
4,160250967,160254471,1AD
5,160270824,160271992,1AE
6,160254476,160255644,1AF
7,160268492,160271997,1AG
8,160266163,160218276,1AH
9,160249792,160210079,1BA
10,160270814,160270816,1BB
11,160252125,160266141,1BC
12,160259139,160260307,1BD
13,160239276,160267310,1BE
14,160291846,160293014,1BG
15,160263813,160291846,1BH
16,160264983,160266151,1CA
17,160264983,160266151,1CB
18,160268494,160279005,1CC
19,160267321,160275496,1CD
20,160293014,160270823,1CE
21,160284845,160275502,1DA
22,160268491,160284844,1DB
23,160268495,160269663,1DC
24,160283681,160315218,1DD
25,160255651,160256819,1EA
26,160268499,160296530,1EB
27,160296530,160269667,1EC
28,160283681,160315218,1ED
29,160262662,160242807,1EE
30,160268504,160233469,1EF
31,160185575,160260326,1EG
32,160257986,160234627,1FA
33,160238133,160213607,1FB
34,160196084,160238133,1FC
35,160213607,160214775,1FD
36,160246313,160247481,1FE
37,160221784,160246313,1FF
38,160252154,160253322,1FG
39,160217116,160203101,1GA
40,160210110,160214783,1GB
41,160193762,160194930,1GC
42,160222960,160205444,1GD
43,160205444,160206613,1GE
44,160211285,160212453,1GF
45,160193762,160194930,1GG
47,160213625,160196100,1HD
48,160196107,160201946,1HE
49,160207787,160208955,1HF
50,160203118,160201949,1JA
51,160211291,160212459,1JB
52,160193769,160194937,1JC
53,160207788,160208956,1JD
54,160196114,160197282,1JE
55,160208956,160207786,1JF
56,160212454,160210116,1JG
57,160226484,160227652,1KA
58,160215979,160215976,1KB
59,160206636,160215979,1KC
60,160206638,160207806,1LA1
61,160230016,110936148,1LA3
62,160222989,160224157,1LB1
63,160210154,160211322,1LB2
64,110782683,110777430,2AA
65,110923028,110937460,2AB
66,110494089,110513768,2BA
67,110667261,110612156,2BB
68,110614778,110616090,2BC
69,110776125,110777437,2BD
70,110803679,110783997,2CA
71,110480986,110473112,2CB
72,110777441,110726270,2CC
73,110651508,-1,2D
74,110366863,-1,2EA
75,110428522,-1,2EB
76,110366864,110369488,2EC
77,110339311,110340622,2ED
78,110387845,110389157,2EE
79,110365547,110366859,2EF
80,110415409,110368176,2EG1
81,110454755,110433762,2EG2
82,110397027,110372098,2EH
83,110423265,110454753,2EJ
84,110366852,110437698,2EK
85,110341949,-1,2FA
86,110361627,-1,2FC
87,110360321,110376067,2GA
88,110296034,110332772,2GB
89,110383933,110340639,2GC
90,110338022,-1,2GD
91,110314440,-1,2H
92,110856107,110857419,2J
93,110389206,110344599,2KA
94,110314430,110315742,2KB
95,110334122,110324942,2KC
96,110320984,110280313,3AA
97,110349848,110351160,3AB
98,110382640,110366895,3AC
99,110334098,110341970,3BA
100,110314418,110319666,3BB
101,110332786,110334098,3BC
102,110305233,110336721,3BD
103,110344592,110382640,3CB
104,110355092,110365589,3DA
105,110364290,110365602,3DB
106,110286875,110288187,3EA
107,110319676,110320988,3EB
108,110318369,110320993,3EC
109,110364290,110365602,3ED
110,110303947,110376108,3FA
111,110327585,110355138,3FB
112,110327585,110355138,3G
113,110363016,110370887,3HA
114,110343334,110344646,3HB
115,110331526,110386631,3HC
116,110301343,-1,3HD
117,110386631,110389255,3HD1
118,110397136,110407633,3J
119,110395855,-1,3K
120,110408947,110428628,3LA
121,110363021,110380077,3LB
122,110327602,110328914,3M
123,110422078,110423390,3MA
124,110403711,110449630,3MB
125,110441760,110443072,3MC
126,110428628,-1,3MD1
127,110444384,-1,3MD2
128,110331512,-1,3N
129,110362941,110364253,4AA
130,110395740,110379997,4AB
131,110339327,110355071,4AC
132,110355071,110394432,4AD
133,110435107,110436419,4BA
134,110362945,110436419,4BB
135,110364261,110365573,4BC
136,110364261,110365573,4BD
137,110343270,110341959,4BE
138,110313095,110344583,4BF
139,110317033,110318345,4BG
140,110334093,110335405,4CA
141,110313101,110335405,4CB
142,110393130,110394442,4CC
143,110351141,110352453,4DA
144,110345893,110347205,4DB
145,110345893,110347205,4DC
146,110349832,110382632,4DD
147,110382632,110348519,4DE
148,110372123,110432476,4EA
149,110356379,110357691,4EB
150,110257985,110391808,4EC
151,110387867,110387870,4ED
152,110436409,110437721,4FA
153,110453459,110454771,4FB
154,110475763,110457396,4GA
155,110425909,110428533,4GB
156,110390512,110327560,4GC
157,110382639,110390512,4GD
158,110323609,110368218,4GE
159,110383989,-1,4GG
160,110322320,110323632,4HA
161,110389228,110315757,4HB
162,110342009,110343321,4HC
163,110336711,110338023,4JA
164,110311809,110357729,4JB
165,110334118,-1,4KA
166,110374769,110360338,4KB
167,110411466,110393097,5AA
168,110418026,110362920,5AB
169,110463939,110446882,5AC
170,110408837,110415396,5AD
171,110387860,110424596,5BA
172,110424596,110424595,5BB
173,110390472,110391784,5BC
174,110393099,110400971,5BD
175,110361608,110391784,5BE
176,110446875,110448187,5CA
177,110538697,110540009,5CB
178,110466537,110538697,5CC
179,110471810,110480993,5DA
180,110441633,110471809,5DB
181,110469184,110478367,5DC
182,110335360,110474432,5DD
183,110516406,110517718,5DE
184,110520342,110521654,5EA
185,110494103,110500667,5EC
186,110428517,110429829,5FA
187,110428516,110429828,5FB
188,110679065,110638394,5GA
189,110825958,110827270,5GB
190,110804966,110806278,5H
191,110765637,-1,5J
192,160207775,160187922,IHB
193,160165730,160166898,IHC
194,160158733,160169244,IHG
195,160238189,160211326,ILA2
