datetime,ensemble_01_m^3/s,ensemble_10_m^3/s,ensemble_11_m^3/s,ensemble_12_m^3/s,ensemble_13_m^3/s,ensemble_14_m^3/s,ensemble_15_m^3/s,ensemble_16_m^3/s,ensemble_17_m^3/s,ensemble_18_m^3/s,ensemble_19_m^3/s,ensemble_02_m^3/s,ensemble_20_m^3/s,ensemble_21_m^3/s,ensemble_22_m^3/s,ensemble_23_m^3/s,ensemble_24_m^3/s,ensemble_25_m^3/s,ensemble_26_m^3/s,ensemble_27_m^3/s,ensemble_28_m^3/s,ensemble_29_m^3/s,ensemble_03_m^3/s,ensemble_30_m^3/s,ensemble_31_m^3/s,ensemble_32_m^3/s,ensemble_33_m^3/s,ensemble_34_m^3/s,ensemble_35_m^3/s,ensemble_36_m^3/s,ensemble_37_m^3/s,ensemble_38_m^3/s,ensemble_39_m^3/s,ensemble_04_m^3/s,ensemble_40_m^3/s,ensemble_41_m^3/s,ensemble_42_m^3/s,ensemble_43_m^3/s,ensemble_44_m^3/s,ensemble_45_m^3/s,ensemble_46_m^3/s,ensemble_47_m^3/s,ensemble_48_m^3/s,ensemble_49_m^3/s,ensemble_05_m^3/s,ensemble_50_m^3/s,ensemble_51_m^3/s,ensemble_52_m^3/s,ensemble_06_m^3/s,ensemble_07_m^3/s,ensemble_08_m^3/s,ensemble_09_m^3/s
2024-02-12 00:00:00+00:00,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486,5.75486
2024-02-12 01:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8629117,,,,
2024-02-12 02:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1878076,,,,
2024-02-12 03:00:00+00:00,6.198527,6.2000766,6.1984777,6.1984777,6.200037,6.240045,8.188434,6.1984777,6.1984777,6.1984777,6.1988654,6.202619,6.1984777,6.1984777,6.247253,6.1984777,6.1984777,6.1985207,6.1574993,6.1984777,6.407462,6.1984777,6.19852,6.1182446,6.1984777,6.2224827,6.1985393,6.1984777,6.1984777,6.1984777,6.180418,5.560401,6.193435,6.1984777,6.1984777,6.1984777,6.1984777,6.1984777,6.198533,6.1985426,6.1984777,6.1984777,6.2235727,6.1989837,6.1984777,6.1984777,6.1984777,6.5447135,6.1984777,6.1984777,6.215415,6.1985455
2024-02-12 04:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8956904,,,,
2024-02-12 05:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19555,,,,
2024-02-12 06:00:00+00:00,7.1557145,7.164924,7.168127,7.168837,7.1709585,7.234164,12.411023,7.168127,7.168127,7.1681643,7.1551795,7.16777,7.168127,7.168396,7.437132,7.168444,7.168127,7.157266,7.49497,7.168127,7.6183515,7.168127,7.168897,7.1919904,7.168127,7.2142196,7.1526113,7.1681886,7.168127,7.168127,6.938258,8.111035,5.225964,7.1681705,7.1681824,7.168127,7.168127,7.1681795,7.154367,7.1518354,7.1681643,7.1681643,7.2404566,7.1690454,7.168127,7.168167,7.168127,7.413141,7.168127,7.168127,7.24916,7.1510596
2024-02-12 07:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5365148,,,,
2024-02-12 08:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.557924,,,,
2024-02-12 09:00:00+00:00,7.5218663,7.4921618,7.5281043,7.525513,7.552548,7.566222,13.445496,7.5278416,7.521144,7.5185137,7.512479,7.5480175,7.5278416,7.5165033,7.897153,7.508708,7.5307407,7.5218406,8.107549,7.5278416,8.055616,7.5278416,7.547824,7.6330776,7.5278783,7.5897303,7.530642,7.512295,7.5278416,7.5278416,7.5015063,9.657859,10.235633,7.5171103,7.5138464,7.5278416,7.5307407,7.514641,7.5465393,7.518849,7.5185137,7.5185256,7.6221147,7.528743,7.5278416,7.51775,7.5278783,7.486898,7.5307407,7.5278416,7.7228193,7.5184298
