datetime,streamflow_m^3/s
1979-01-01 00:00:00+00:00,0.0
1979-01-02 00:00:00+00:00,0.1988178
1979-01-03 00:00:00+00:00,0.45079955
1979-01-04 00:00:00+00:00,1.313229
1979-01-05 00:00:00+00:00,6.985296
1979-01-06 00:00:00+00:00,21.90262
1979-01-07 00:00:00+00:00,48.469734
1979-01-08 00:00:00+00:00,85.83517
1979-01-09 00:00:00+00:00,167.80379
1979-01-10 00:00:00+00:00,317.72098
1979-01-11 00:00:00+00:00,589.1856
1979-01-12 00:00:00+00:00,1080.8167
1979-01-13 00:00:00+00:00,1636.4758
1979-01-14 00:00:00+00:00,1949.6625
1979-01-15 00:00:00+00:00,2211.7556
1979-01-16 00:00:00+00:00,2543.9824
1979-01-17 00:00:00+00:00,2621.5454
1979-01-18 00:00:00+00:00,2384.1611
1979-01-19 00:00:00+00:00,2050.5884
1979-01-20 00:00:00+00:00,1697.3518
1979-01-21 00:00:00+00:00,1386.5404
1979-01-22 00:00:00+00:00,1162.659
1979-01-23 00:00:00+00:00,1028.8503
1979-01-24 00:00:00+00:00,963.8201
1979-01-25 00:00:00+00:00,974.7064
1979-01-26 00:00:00+00:00,1113.0707
1979-01-27 00:00:00+00:00,1276.3478
1979-01-28 00:00:00+00:00,1318.4012
1979-01-29 00:00:00+00:00,1305.1812
1979-01-30 00:00:00+00:00,1360.8938
1979-01-31 00:00:00+00:00,1491.7765
1979-02-01 00:00:00+00:00,1869.0533
1979-02-02 00:00:00+00:00,2566.607
1979-02-03 00:00:00+00:00,3338.791
1979-02-04 00:00:00+00:00,3990.579
1979-02-05 00:00:00+00:00,4312.7607
1979-02-06 00:00:00+00:00,4224.5874
1979-02-07 00:00:00+00:00,4127.3213
1979-02-08 00:00:00+00:00,4227.308
1979-02-09 00:00:00+00:00,4519.2207
1979-02-10 00:00:00+00:00,5050.278
1979-02-11 00:00:00+00:00,5584.2925
1979-02-12 00:00:00+00:00,5778.7393
1979-02-13 00:00:00+00:00,5478.368
1979-02-14 00:00:00+00:00,4851.612
1979-02-15 00:00:00+00:00,4329.3433
1979-02-16 00:00:00+00:00,4097.89
1979-02-17 00:00:00+00:00,4117.515
1979-02-18 00:00:00+00:00,4396.238
1979-02-19 00:00:00+00:00,4839.161
1979-02-20 00:00:00+00:00,5038.87
1979-02-21 00:00:00+00:00,5099.9023
1979-02-22 00:00:00+00:00,5425.0635
1979-02-23 00:00:00+00:00,6028.143
1979-02-24 00:00:00+00:00,6483.7144
1979-02-25 00:00:00+00:00,6477.4604
1979-02-26 00:00:00+00:00,6265.1934
1979-02-27 00:00:00+00:00,6195.599
1979-02-28 00:00:00+00:00,6380.055
1979-03-01 00:00:00+00:00,6669.2065
1979-03-02 00:00:00+00:00,6713.431
1979-03-03 00:00:00+00:00,6510.1436
1979-03-04 00:00:00+00:00,6493.456
1979-03-05 00:00:00+00:00,6593.608
1979-03-06 00:00:00+00:00,6437.8457
1979-03-07 00:00:00+00:00,5903.665
1979-03-08 00:00:00+00:00,5206.3374
1979-03-09 00:00:00+00:00,4563.9775
1979-03-10 00:00:00+00:00,4167.1777
1979-03-11 00:00:00+00:00,4006.2412
1979-03-12 00:00:00+00:00,3865.2158
1979-03-13 00:00:00+00:00,3724.4575
